Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.66     0.00     7023     0.00     0.00  v__ast__TypeSymbol_find_method_with_generic_parent
  0.00      0.66     0.00     7011     0.00     0.00  v__checker__Checker_fail_if_immutable_to_mutable
  0.00      0.66     0.00     6949     0.00     0.00  Array_v__ast__Attr_find_comptime_define
  0.00      0.66     0.00     6866     0.00     0.00  v__gen__c__Gen_infix_expr_eq_op
  0.00      0.66     0.00     6794     0.00     0.00  v__checker__Checker_return_stmt
  0.00      0.66     0.00     6491     0.00     0.00  builtin__string_trim_chars
  0.00      0.66     0.00     6352     0.00     0.00  v__util__Timers_start
  0.00      0.66     0.00     6248     0.00     0.00  v__gen__c__Gen_infix_expr_and_or_op
  0.00      0.66     0.00     5996     0.00     0.00  v__parser__Parser_call_expr
  0.00      0.66     0.00     5954     0.00     0.00  v__ast__Stmt_sumtype_eq
  0.00      0.66     0.00     5783     0.00     0.00  v__checker__Checker_fn_call
  0.00      0.66     0.00     5750     0.00     0.00  v__ast__Table_struct_fields
  0.00      0.66     0.00     5422     0.00     0.00  v__gen__c__Gen_return_stmt
  0.00      0.66     0.00     5397     0.00     0.00  v__checker__Checker_string_inter_lit
  0.00      0.66     0.00     5307     0.00     0.00  v__util__Timers_measure
  0.00      0.66     0.00     5307     0.00     0.00  v__util__Timers_measure_cumulative
  0.00      0.66     0.00     5276     0.00     0.00  v__gen__c__Gen_check_expr_is_const
  0.00      0.66     0.00     5124     0.00     0.00  v__parser__Parser_top_stmt
  0.00      0.66     0.00     4760     0.00     0.00  v__parser__Parser_is_match_sumtype_type
  0.00      0.66     0.00     4701     0.00     0.00  v__gen__c__Gen_type_sidx
  0.00      0.66     0.00     4498     0.00     0.00  v__parser__Parser_parse_generic_types
  0.00      0.66     0.00     4298     0.00     0.00  v__ast__TypeSymbol_struct_eq
  0.00      0.66     0.00     4298     0.00     0.00  v__checker__Checker_cast_expr
  0.00      0.66     0.00     4252     0.00     0.00  v__transformer__Transformer_check_safe_array
  0.00      0.66     0.00     4233     0.00     0.00  v__checker__Checker_check_multiple_ptr_match
  0.00      0.66     0.00     4206     0.00     0.00  v__depgraph__OrderedDepMap_set
  0.00      0.66     0.00     4187     0.00     0.00  strings__Builder_cut_to
  0.00      0.66     0.00     4173     0.00     0.00  v__markused__Walker_fn_by_name
  0.00      0.66     0.00     4155     0.00     0.00  v__checker__Checker_markused_castexpr
  0.00      0.66     0.00     4141     0.00     0.00  v__parser__Parser_fn_params
  0.00      0.66     0.00     4103     0.00     0.00  v__checker__Checker_fn_decl
  0.00      0.66     0.00     4083     0.00     0.00  v__gen__c__Gen_fn_decl
  0.00      0.66     0.00     4081     0.00     0.00  v__parser__Parser_fn_decl
  0.00      0.66     0.00     4004     0.00     0.00  v__scanner__Scanner_ident_hex_number
  0.00      0.66     0.00     3982     0.00     0.00  v__ast__Table_find_method_from_embeds
  0.00      0.66     0.00     3970     0.00     0.00  v__checker__Checker_check_noreturn_fn_decl
  0.00      0.66     0.00     3940     0.00     0.00  v__gen__c__Gen_is_used_by_main
  0.00      0.66     0.00     3862     0.00     0.00  v__type_resolver__TypeResolver_resolve_args
  0.00      0.66     0.00     3851     0.00     0.00  v__checker__Checker_promote
  0.00      0.66     0.00     3838     0.00     0.00  builtin__map_delete
  0.00      0.66     0.00     3821     0.00     0.00  v__checker__Checker_index_expr
  0.00      0.66     0.00     3796     0.00     0.00  v__parser__Parser_prefix_expr
  0.00      0.66     0.00     3787     0.00     0.00  v__gen__c__Gen_string_inter_literal
  0.00      0.66     0.00     3643     0.00     0.00  v__gen__c__Gen_struct_init_field
  0.00      0.66     0.00     3643     0.00     0.00  v__gen__c__Gen_struct_init_field_default
  0.00      0.66     0.00     3596     0.00     0.00  v__parser__Parser_index_expr
  0.00      0.66     0.00     3510     0.00     0.00  v__checker__Checker_struct_init
  0.00      0.66     0.00     3443     0.00     0.00  v__checker__Checker_check_uninitialized_struct_fields_and_embeds
  0.00      0.66     0.00     3407     0.00     0.00  v__checker__Checker_prefix_expr
  0.00      0.66     0.00     3404     0.00     0.00  v__gen__c__Gen_add_commas_and_prevent_long_lines
  0.00      0.66     0.00     3388     0.00     0.00  v__parser__Parser_is_only_array_type
  0.00      0.66     0.00     3343     0.00     0.00  v__ast__Expr_sumtype_eq
  0.00      0.66     0.00     3226     0.00     0.00  v__depgraph__OrderedDepMap_add
  0.00      0.66     0.00     3183     0.00     0.00  v__checker__Checker_check_index
  0.00      0.66     0.00     3126     0.00     0.00  v__markused__Walker_fn_decl
  0.00      0.66     0.00     3102     0.00     0.00  v__gen__c__Gen_index_expr
  0.00      0.66     0.00     3081     0.00     0.00  builtin__string_split_nth
  0.00      0.66     0.00     3044     0.00     0.00  builtin__string_repeat
  0.00      0.66     0.00     2928     0.00     0.00  builtin__string_to_upper_ascii
  0.00      0.66     0.00     2895     0.00     0.00  v__checker__Checker_smartcast
  0.00      0.66     0.00     2860     0.00     0.00  v__gen__c__Gen_c_const_name
  0.00      0.66     0.00     2797     0.00     0.00  v__ast__TypeSymbol_has_method_with_generic_parent
  0.00      0.66     0.00     2730     0.00     0.00  v__gen__c__Gen_cast_expr
  0.00      0.66     0.00     2689     0.00     0.00  builtin__array_get
  0.00      0.66     0.00     2650     0.00     0.00  v__ast__Table_find_or_register_array
  0.00      0.66     0.00     2581     0.00     0.00  v__gen__c__Gen_expr_string
  0.00      0.66     0.00     2551     0.00     0.00  v__markused__Walker_mark_fn_ret_and_params
